feature,importance
8_1_25_rolling_12,0.051271517
15_1_16_rolling_6,0.048043862
6_2_25_rolling_24,0.044640575
0_1_9_rolling_12,0.030261217
17_2_12_rolling_3,0.029693088
3_2_12_rolling_24,0.015023736
12_2_2_rolling_std_6,0.014810434
12_1_1_rolling_12,0.014809828
26_1_11_rolling_12,0.013692842
29_0_13_rolling_3,0.012311695
4_2_27_rolling_3,0.011180562
6_1_14_rolling_6,0.01106624
15_1_16_rolling_std_6,0.010688003
3_2_6_rolling_3,0.010529223
9_2_2_rolling_24,0.01039178
13_0_18_rolling_3,0.009628717
3_2_6_lag_1,0.0091646435
11_2_19_rolling_std_24,0.008282122
13_0_6_rolling_24,0.007839386
5_1_9_rolling_std_24,0.0077923923
0_1_25_rolling_std_24,0.0077576586
20_2_13_rolling_3,0.007217045
6_2_31_rolling_12,0.0069452245
12_2_29_rolling_3,0.0057229474
14_0_6_lag_1,0.0054541808
26_0_27_rolling_24,0.005119082
24_0_22_rolling_3,0.005103766
6_0_25_rolling_std_24,0.0050638057
16_0_21_rolling_3,0.0049297805
5_1_13_rolling_std_24,0.0042070644
5_0_2_rolling_3,0.0041845865
22_1_19_rolling_std_6,0.0040335073
14_1_15_lag_1,0.00398353
6_2_21_rolling_12,0.0038773583
24_0_5_rolling_std_6,0.003860887
6_1_14_rolling_std_6,0.0038574836
27_2_21_rolling_24,0.00356718
22_2_13_lag_24,0.0035421916
27_1_11_lag_12,0.0032339017
12_0_19_lag_12,0.0030790898
2_0_17_rolling_std_6,0.00302936
20_2_13_rolling_std_6,0.0029777593
24_1_15_rolling_3,0.0029318447
5_2_4_rolling_3,0.0027595519
4_2_27_rolling_std_6,0.0026794812
17_2_12_lag_1,0.0026658478
27_1_1_lag_168,0.0025285536
20_1_30_lag_168,0.0024256173
8_2_2_lag_168,0.0024036209
28_2_29_rolling_6,0.002391527
21_0_1_rolling_3,0.0023836403
29_1_3_rolling_std_24,0.0023815408
25_2_19_lag_12,0.0023358758
27_0_17_rolling_24,0.0023171299
22_1_1_rolling_3,0.0023026438
10_2_11_rolling_3,0.0022506348
19_2_16_rolling_12,0.0021062212
8_1_1_rolling_std_6,0.0020958793
10_1_6_rolling_24,0.002065085
2_1_17_rolling_std_24,0.0020607617
15_1_26_rolling_12,0.0020097964
15_0_21_rolling_3,0.0020087552
12_1_23_rolling_3,0.001996026
14_0_6_rolling_3,0.001961221
4_0_8_rolling_std_6,0.0019223497
21_2_23_rolling_12,0.0018959322
17_1_12_lag_168,0.0018521298
27_0_29_rolling_std_6,0.0016512477
10_1_2_rolling_6,0.0016376672
16_1_5_rolling_24,0.0015642145
12_1_12_rolling_3,0.0014611323
3_1_19_rolling_12,0.0014468514
12_2_2_lag_168,0.0014418093
29_0_0_rolling_24,0.0014197022
22_1_22_rolling_std_6,0.0014027751
8_2_29_rolling_12,0.001395871
23_2_22_rolling_12,0.0013556434
14_1_28_lag_12,0.0013315207
2_0_13_rolling_24,0.0013054458
29_0_13_rolling_std_6,0.0012492769
3_1_16_rolling_6,0.0012388317
7_0_31_rolling_12,0.0012247514
15_2_18_rolling_std_24,0.0012082953
23_2_12_rolling_std_24,0.0012061576
25_1_18_rolling_std_24,0.0011858661
29_2_9_rolling_12,0.0011741017
25_0_18_rolling_3,0.0011434114
0_2_20_lag_168,0.0011408405
9_0_14_rolling_3,0.0011321289
0_2_2_rolling_24,0.0011268046
2_2_3_rolling_24,0.0011267752
4_1_19_rolling_12,0.0010943209
6_2_2_lag_168,0.0010929095
6_2_21_rolling_6,0.0010642799
7_1_11_lag_6,0.0010545509
6_1_7_rolling_24,0.0010362627
6_2_15_rolling_6,0.0010303698
13_0_9_rolling_std_6,0.0010220127
26_1_8_rolling_24,0.0010196257
14_0_8_rolling_std_24,0.001010784
8_1_9_lag_168,0.0010080241
1_1_18_rolling_3,0.0010040383
28_0_15_rolling_6,0.0009974426
25_1_17_lag_168,0.00095074106
14_1_15_lag_12,0.00094016985
19_2_15_rolling_3,0.0009335866
21_0_28_rolling_3,0.00088202674
26_1_31_rolling_3,0.0008781037
0_2_25_rolling_3,0.00087676366
23_2_3_rolling_std_24,0.00087628665
20_2_10_rolling_6,0.0008746034
22_2_13_rolling_3,0.0008504407
7_1_18_rolling_3,0.0008496114
20_2_16_rolling_std_24,0.00083270035
23_2_7_rolling_24,0.00082483154
27_1_11_rolling_3,0.00082459144
27_1_14_rolling_24,0.0008175148
5_0_31_rolling_12,0.00081528653
0_2_1_rolling_3,0.00080527173
2_1_30_rolling_12,0.0008027033
3_2_7_rolling_3,0.0008013644
19_1_12_rolling_3,0.0007964338
7_1_5_rolling_12,0.00079557707
5_0_1_rolling_3,0.00078503264
12_2_4_rolling_24,0.0007779899
25_0_25_lag_24,0.00076391693
28_1_9_lag_168,0.00074459694
8_2_30_lag_6,0.0007409909
5_1_5_rolling_24,0.0007342255
7_2_12_rolling_12,0.00073345704
28_0_31_rolling_3,0.00072947115
19_1_31_rolling_12,0.0007244541
16_1_13_rolling_std_24,0.0007239293
21_0_6_lag_1,0.0007189173
4_1_23_rolling_24,0.0007183722
29_1_14_rolling_3,0.00071768044
12_0_18_rolling_6,0.0007148543
10_2_24_rolling_6,0.00070972205
19_2_19_rolling_3,0.0007066506
2_2_14_rolling_3,0.00070369686
10_0_17_lag_1,0.00069904246
27_1_13_rolling_3,0.00069644814
10_0_23_rolling_24,0.000688149
27_0_6_rolling_24,0.00066706334
8_2_3_rolling_std_24,0.00065992173
17_2_2_lag_1,0.0006587644
28_0_30_rolling_3,0.0006544057
18_2_6_rolling_std_6,0.000651759
22_1_6_rolling_std_6,0.00065083
0_1_13_rolling_12,0.00064263126
27_0_9_rolling_12,0.00064245565
27_0_4_rolling_6,0.00063874514
12_1_12_rolling_std_6,0.00063834165
18_1_19_rolling_6,0.00063618727
8_2_21_rolling_12,0.0006357703
15_1_5_rolling_std_6,0.00063555763
2_1_22_lag_1,0.00063427736
17_1_3_rolling_std_6,0.0006336541
2_2_12_lag_24,0.0006315477
23_2_15_lag_168,0.00062848406
29_0_21_rolling_6,0.00062064227
22_0_0_lag_6,0.0006167329
16_2_24_rolling_24,0.00061595935
4_1_8_rolling_24,0.0006140752
12_2_22_lag_24,0.00060934393
15_0_20_rolling_3,0.0006036111
16_0_5_lag_1,0.00060236105
13_0_0_rolling_std_6,0.0005939606
0_0_30_lag_168,0.0005937879
7_2_17_rolling_3,0.0005831856
13_0_18_lag_12,0.0005826991
10_1_15_rolling_24,0.0005711286
11_0_19_rolling_6,0.00057087385
14_2_18_rolling_std_6,0.000570316
7_2_9_rolling_3,0.00056166534
15_0_22_rolling_3,0.0005613414
17_2_13_rolling_6,0.00055805134
15_0_18_rolling_3,0.00055579795
19_2_21_lag_168,0.0005529943
1_1_8_lag_12,0.0005525707
29_0_1_rolling_3,0.0005522872
0_2_21_rolling_3,0.00055120786
24_0_18_rolling_12,0.0005464317
20_0_24_rolling_6,0.000542534
2_0_7_rolling_std_24,0.0005400765
19_2_15_lag_24,0.0005382947
20_2_2_rolling_6,0.00053616724
8_0_31_rolling_12,0.0005329372
10_1_1_rolling_12,0.00053255376
28_0_23_rolling_3,0.0005243283
18_1_6_rolling_12,0.0005226004
28_0_22_rolling_3,0.00052255974
13_2_6_lag_12,0.0005212061
14_1_4_rolling_12,0.0005127206
28_1_26_rolling_24,0.00050765753
3_0_20_lag_12,0.00050752267
27_1_14_rolling_3,0.00050600036
28_0_15_rolling_std_6,0.00050598086
22_1_9_rolling_3,0.00050271634
25_1_29_lag_12,0.00050177105
27_1_12_rolling_3,0.00050127174
8_0_15_rolling_std_24,0.00049989385
26_2_10_lag_6,0.00049877097
19_2_4_rolling_std_24,0.00049677625
22_1_18_lag_12,0.0004946617
24_2_16_lag_168,0.00048378328
8_0_20_rolling_3,0.0004774259
8_2_19_rolling_24,0.00047658826
15_0_12_rolling_3,0.0004764655
18_1_22_lag_1,0.0004713841
6_0_3_rolling_std_24,0.00047076418
8_2_22_lag_1,0.00046702923
13_1_18_lag_12,0.000460965
12_0_30_lag_12,0.0004601536
28_0_10_rolling_6,0.00045987932
15_1_15_rolling_std_24,0.00045922195
17_1_0_rolling_12,0.00045917148
15_2_9_rolling_3,0.00045834904
2_0_3_rolling_24,0.00045561485
24_2_3_rolling_6,0.0004540303
27_2_10_rolling_std_6,0.00045156936
3_2_6_rolling_std_6,0.00045107922
14_2_5_rolling_std_6,0.00044886122
29_0_9_rolling_3,0.00044543532
7_0_7_rolling_24,0.0004429936
19_2_21_rolling_3,0.0004426464
12_2_0_rolling_24,0.0004411458
11_1_25_rolling_6,0.00043626735
24_0_17_rolling_6,0.00043424702
18_1_14_lag_168,0.0004340887
2_2_12_rolling_3,0.0004329679
2_1_22_rolling_3,0.0004293388
24_1_15_rolling_std_6,0.00042395224
24_2_8_rolling_std_24,0.00042002415
25_0_9_rolling_3,0.00041103235
27_0_1_rolling_24,0.00041052836
6_2_9_lag_168,0.0004093948
6_1_24_rolling_std_24,0.00040589087
8_2_17_lag_6,0.00040418215
15_0_19_rolling_3,0.00040255964
7_1_8_rolling_std_6,0.00039571425
26_0_22_rolling_6,0.00039221428
25_2_14_rolling_3,0.00039132175
20_1_15_lag_1,0.00039005213
7_0_6_rolling_std_6,0.000389347
8_0_15_rolling_24,0.00038594916
3_2_14_rolling_3,0.00038363106
21_2_17_rolling_std_6,0.00037733026
7_0_7_rolling_6,0.00037646983
2_1_31_rolling_6,0.00037630685
25_2_6_lag_6,0.00037390395
6_2_20_lag_24,0.00037185245
0_0_28_lag_12,0.00037091642
14_0_7_lag_1,0.00036945834
17_2_4_lag_24,0.0003665556
13_0_15_lag_6,0.00036644374
10_0_21_lag_168,0.0003623204
25_2_11_rolling_12,0.0003617879
29_0_17_rolling_12,0.00035795756
27_2_2_rolling_std_24,0.0003562889
6_1_2_rolling_12,0.00035593132
3_0_3_lag_168,0.00035535582
14_1_14_rolling_std_6,0.00035504674
16_1_13_rolling_3,0.00035467223
18_1_19_rolling_std_6,0.00035399495
8_0_24_rolling_std_24,0.0003529383
26_2_28_lag_6,0.00035249733
2_2_12_rolling_24,0.00035052764
21_2_8_rolling_12,0.0003487479
26_2_23_rolling_std_6,0.00034699112
25_1_14_lag_1,0.00034584248
1_2_22_lag_12,0.00034489587
19_1_15_rolling_std_24,0.0003448434
27_0_10_rolling_6,0.00034235534
24_0_22_rolling_std_6,0.00034083423
15_0_14_rolling_std_24,0.0003394764
7_2_7_lag_6,0.00033846957
7_0_5_rolling_std_6,0.00033840508
28_2_10_rolling_3,0.00033738502
13_2_28_lag_12,0.0003369648
16_2_21_rolling_std_24,0.0003346042
20_2_18_rolling_std_24,0.00033389268
5_2_8_rolling_24,0.00033248696
15_1_29_rolling_std_6,0.00033167112
15_0_13_rolling_3,0.00033048497
5_0_6_lag_12,0.00032958708
0_1_0_lag_24,0.0003292366
15_0_13_lag_168,0.00032901755
